면적,층수,구,동,년수,가격,브랜드,등급
70.2,5,구로구,고척동,38,3.8,기타,A
84.93,6,양천구,신정동,5,13.1,자이,A
59.82,14,동작구,노량진동,27,8.45,기타,B
59.98,27,구로구,신도림동,25,8.5,기타,B
84.91,23,영등포구,영등포동,22,11.37,기타,B
84.8,6,송파구,잠실동,16,22.4,기타,B
84.88,10,송파구,잠실동,16,22.3,기타,A
82.61,13,송파구,잠실동,46,28.36,기타,C
52.96,3,양천구,신월동,4,6.7,기타,C
84.97,15,양천구,신월동,4,10.25,기타,C
84.84,8,양천구,신정동,29,8.9,기타,B
155.22,2,송파구,신천동,45,28.7,기타,C
82.45,7,송파구,신천동,45,19,기타,B
31.73,13,영등포구,당산동2가,25,3.475,기타,A
31.73,17,영등포구,당산동2가,25,3.5,기타,A
100.8,9,용산구,이촌동,23,18.35,기타,A
84.88,3,양천구,신정동,22,15.25,기타,C
84.88,17,양천구,신정동,22,15.5,기타,C
49.77,3,양천구,신월동,37,4.18,기타,B
127.65,13,양천구,목동,15,27,기타,C
84.99,3,송파구,풍납동,18,10.25,힐스테이트,A
59.98,16,영등포구,양평동3가,24,8.5,기타,B
59.94,21,용산구,원효로4가,25,11,기타,A
84.88,13,광진구,자양동,29,11.2,기타,A
17.35,7,마포구,마포동,12,1.5,기타,A
84.65,8,광진구,자양동,25,11,기타,A
60.63,5,용산구,한남동,54,4.05,기타,A
59.95,4,용산구,효창동,5,13.6,롯데캐슬,B
59.94,14,광진구,광장동,28,10.175,기타,A
59.78,14,마포구,현석동,20,10.7,힐스테이트,A
84.96,14,마포구,신공덕동,11,13.3,기타,B
59.96,14,마포구,신공덕동,21,10.5,래미안,A
59.98,3,양천구,목동,19,8.55,롯데캐슬,A
15.2,5,광진구,화양동,10,1.345,기타,B
59.78,9,성동구,옥수동,8,14.85,기타,B
59.98,12,마포구,창전동,17,10.7,기타,B
84.45,5,성동구,금호동1가,23,10.8,래미안,A
84.92,25,강동구,상일동,5,12.7,롯데캐슬,A
59.76,12,성동구,성수동1가,27,11.3,기타,A
59.95,2,마포구,공덕동,36,8.1,기타,A
59.99,1,성동구,금호동2가,12,10.95,래미안,B
75.5,5,강서구,내발산동,21,6.75,기타,A
59.64,7,강동구,암사동,24,8.55,기타,B
59.99,3,성동구,금호동2가,12,10.85,자이,A
59.98,12,성동구,금호동1가,5,13.5,기타,B
84.53,8,강서구,내발산동,17,9.88,기타,B
59.98,17,성동구,금호동1가,5,13.5,기타,C
84.94,24,강동구,상일동,4,14.5,기타,B
84.95,10,강동구,상일동,4,11,기타,A
59.98,5,마포구,아현동,10,14,래미안,B
84.71,20,성동구,행당동,24,11.75,기타,A
59.79,13,강서구,마곡동,10,10,기타,B
59.96,13,성동구,행당동,24,9.18,기타,A
84.87,14,성동구,행당동,24,10.8,기타,A
114.94,14,성동구,행당동,24,12.9,기타,A
59.79,10,강동구,고덕동,5,12.6,기타,B
37.67,8,강서구,등촌동,29,5.32,기타,C
59.99,9,마포구,연남동,29,7.5,기타,B
