Date No.,Nvidia,Intel
529,27.32,45.98
530,25.89,44.98
531,24.37,44.43
532,24.17,44.45
533,23.08,43.94
534,21.88,43.52
535,21.47,43.46
536,22.17,43.93
537,21.23,42.68
538,21.75,43.59
539,22.16,44.79
540,21.45,44.96
541,20.15,44.39
542,19.49,43.49
543,19.87,43.98
544,18.76,42.54
545,18.39,42.26
546,19.75,43.77
547,18.52,40.74
548,19.5,42.02
549,19.57,42.11
550,20.3,43.49
551,18.82,42.01
552,18.65,41.73
553,16.92,40.57
554,17.57,41.45
555,16.61,40.34
556,16.15,40.35
557,17.68,41.07
558,17.24,40.58
559,18.15,41.82
560,16.91,39.89
561,17.1,39.57
562,16.67,39.23
563,16.87,39.56
564,16.13,39.25
565,16.95,39.75
566,17.82,40.95
567,18.78,41.96
568,18.64,41.84
569,18.29,41.55
570,19.56,42.24
571,18.69,40.87
572,18.76,40.82
573,18.9,41
574,18.62,38.84
575,18.02,37.69
576,16.95,36.9
577,15.63,35.58
578,15.82,35.73
579,16.51,36.41
580,15.58,35.17
581,15.86,34.82
582,16.54,35.54
583,16.34,35.21
584,16.2,35.24
585,17.1,36.37
586,16.85,36.39
587,15.96,35.59
588,15.52,35.12
589,15.14,35.24
590,14.5,34.23
591,14.94,34.56
592,15.11,34.84
593,15.84,35.92
594,15.82,35.78
595,15.13,35.04
596,15.06,35.05
597,15.14,35.05
598,15.35,35.52
599,15.74,36.38
600,16.08,36.46
601,16.97,37.88
602,17.78,38.2
603,18.03,38.25
604,17.3,36.92
605,17,36.89
606,16.51,36.7
607,17.77,37.85
608,17.96,37.4
609,18.14,34.2
610,18.42,34.81
611,18.5,33.92
612,18.87,34.4
613,19.19,33.93
614,18.96,33.67
615,17.77,33.66
616,17.06,32.84
617,18.07,33.65
618,17.92,33.86
619,18.69,34.36
620,19.01,34.57
621,18.85,34.43
622,18.31,34.04
623,18.75,34.44
624,17.83,33.66
625,17.01,32.2
626,17.16,32.3
627,17.2,32.22
628,17.89,33.2
629,16.24,31.74
630,15.78,31.34
631,15.45,30.69
632,15.07,30.37
633,13.92,30.22
634,13.63,29.7
635,13.45,28.89
636,13.7,29.16
637,13.98,29.26
638,14.37,29.93
639,14.49,30.03
640,13.12,27.87
641,13.12,27.76
642,12.92,27.44
643,13.19,27.82
644,13.37,28.01
645,13.16,27.55
646,13.25,27.09
647,12.55,26.71
648,12.5,26.18
649,12.22,25.66
650,12.4,25.58
651,12.72,25.81
652,12.21,25.1
653,12.13,24.52
654,12.5,25.66
655,13.15,26.35
656,13.2,26.3
657,13.12,25.86
658,12.06,24.47
659,11.66,23.98
660,11.57,23.82
661,11.49,24.1
662,11.95,25.14
663,11.22,24.65
664,11.88,25.14
665,11.96,24.61
666,12.04,24.74
667,12.18,24.81
668,12.45,25.66
669,12.59,25.86
670,13.25,26.08
671,12.88,25.89
672,13.16,24.99
673,13.82,27.66
674,13.48,27.05
675,13.53,26.93
676,13.21,26.09
677,13.41,26.06
678,14.14,27.19
679,14.29,27.4
680,14.59,27.46
681,13.76,26.54
682,15.73,28.7
683,16.31,29.34
684,16.28,29.27
685,16.65,29.61
686,15.89,28.48
687,15.66,28.82
688,15.39,28.8
689,15.3,27.91
690,16.02,28.75
691,16.5,28.61
692,16.25,28.29
693,15.81,27.7
694,15.62,27.87
695,16.91,29
696,17.12,28.76
697,16.86,28.36
698,16.6,28.13
699,15.98,27.58
700,16.11,27.32
701,17.16,27.42
702,16.99,27.23
703,17.52,27.67
704,18.06,27.7
705,17.66,27.25
706,16.94,26.18
707,16.56,25.96
708,16.24,25.83
709,16.07,25.5
710,16.49,25.87
711,15.33,25.04
712,15.19,25.16
713,14.11,25.01
714,14.03,24.63
715,14.59,25.27
716,14.6,25.49
717,14.3,25.78
718,14.74,26.69
719,14.25,26.58
720,14.85,27.7
721,15.62,28.26
722,15.9,28.39
723,15.99,28.78
724,16.5,29.21
725,16.89,29.03
726,17.69,28.54
727,17.36,27.78
728,16.75,27.4
729,17.83,28.18
730,19.18,29.19
731,19.25,28.85
732,19.31,28.64
733,19.79,29.02
734,20.35,27.15
735,19.15,26.95
736,19.52,27.25
737,20.93,28.03
738,21.69,29.11
739,21.08,29.24
740,21.07,28
741,22.16,28.35
742,22.19,27.56
743,22.32,27.07
744,21.25,27.13
745,21.77,27.87
746,22.95,27.95
747,22.75,28.16
748,21.99,27.52
749,21.37,26.95
750,20.64,25.44
751,20.74,24.86
752,23.65,25
753,23.27,24.54
754,23.48,24.3
755,23.2,24.33
756,22.68,24.72
757,23.3,25.57
758,23.87,25.77
759,23.54,25.37
760,23.28,24.92
761,24.17,25.36
762,23.42,25.81
763,22.95,26.57
764,22.95,26.3
765,24.05,27.34
766,24.21,27.73
767,25.53,29.46
768,25.71,29.1
769,25.89,28.46
770,26.18,27.78
771,26.45,27.46
772,27.18,28.33
773,26.76,28.66
774,26.52,28.48
775,26.4,28.59
776,26.97,30.76
777,27.37,31.32
778,27.76,31.89
779,27.95,32.1
780,27.44,32.31
781,26.87,32.04
782,27.02,32.02
783,27.56,31.74
784,27.15,31.57
785,26.48,31.25
786,26.45,31.36
787,26.74,31.13
788,26.99,31.37
789,27.65,31.07
790,27.92,30.4
791,27.09,30.12
792,27.1,29.57
793,27.03,28.95
794,26.23,28.19
795,26.94,28.35
796,27.21,29.14
797,27.73,30.32
798,28.89,29.57
799,28.19,29.06
800,27.79,29.92
801,27.55,30.62
802,28.66,30.37
803,29.13,30.16
804,28.56,29.5
805,28.87,29.37
806,28.56,28.28
807,28.32,28.37
808,28.94,29.2
809,29.2,28.64
810,30.16,28.29
811,31.66,29.09
812,31.25,29.33
813,31.16,29.68
814,30.67,28.92
815,30.52,28.42
816,37.96,26.85
817,38.92,28.42
818,40.09,29.39
819,37.81,30.81
820,39.75,30.51
821,39.31,30.68
822,39.15,29.26
823,38.63,30.34
824,37.46,30.66
825,38.49,31.18
826,38.75,30.71
827,39.46,32.41
828,41,33.23
829,42.98,34.87
830,42.63,35.1
831,42.67,35.64
832,43.79,34.3
833,43.03,32.24
834,43.01,32.06
835,42.19,32.34
836,40.61,32.67
837,41.86,33.42
838,41.1,32.9
839,40.8,32.25
840,42.28,32.77
841,42.39,32.95
842,42.3,31.86
843,42.08,31.33
844,42.48,31.21
845,42.16,32.09
846,42.39,32.63
847,43.88,33.3
848,45.96,33.19
